primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
Sukep: The Movie	2019	113	Comedy,Drama	7.5	6
Saeng-il	2019	120	Drama	7.1	469
Konpaku	2019	109	Horror,Romance	7.6	16
Sarvasva	2017	103	Thriller	6.2	5
Gemini Man	2019	117	Action,Sci-Fi,Thriller	5.7	116521
66 Sadashiv	2019	136	Drama	5.3	64
Vijayaratha	2019	135	History,Romance,Thriller	4.7	441
10 Days with Dad	2020	104	Comedy,Family	5.4	985
Granny Nanny	2020	104	Comedy	6.5	762
Badland	2019	117	Drama,Western	5.6	2904
Alma de Héroe	2019	120	Action	6.7	133
Created Equal: Clarence Thomas in His Own Words	2020	116	Biography,Documentary	8.1	1044
The Goddess of Fortune	2019	118	Drama	6.7	2525
Ambu	2019	118	Drama	8.8	60
Manaroopa	2019	124	Adventure,Crime,Family	6.1	78
Antigone	2019	109	Crime,Drama	7.0	1738
True Justice: Bryan Stevenson's Fight for Equality	2019	102	Documentary	8.3	336
The Promised Land	2019	129	Crime,Drama	5.9	250
Nobel Peace	2021	121	Drama	6.6	16
Pitkä perjantai	2019	114	Action,Comedy	5.2	43
Compartment Number 6	2021	107	Drama,Romance	7.2	13069
Muna	2019	113	Action,Crime,Drama	7.2	61
Shai K.	2019	110	Documentary	6.8	13
The Greatest Beer Run Ever	2022	126	Adventure,Drama,War	6.8	21768
Minyan	2020	118	Drama	6.6	944
Tales from the Rabbit Hole: A Curious Kitsch Novel	2020	120	Comedy,Drama	6.8	20
14 Tirmeh	2017	146	Drama	4.5	309
Infernal Guidon, or Cossack Christmas	2019	110	Family,Fantasy	6.9	271
Agent Jade Black	2020	101	Action	2.1	303
K-13	2019	103	Action,Drama,Mystery	6.0	519
To Catch a Killer	2023	119	Action,Crime,Drama	7.1	1106
Aelay	2021	153	Comedy,Drama	7.0	719
A Resistance	2019	105	Drama	6.2	174
Love Again	2023	104	Comedy,Drama,Romance	5.9	989
Beshoot	2019	120	Action,Drama,War	7.6	545
Mai Ghat: Crime No 103/2005	2019	104	Biography,Crime	7.0	7
Our Dance of Revolution	2019	102	Documentary	8.2	14
Divaldo: O Mensageiro da Paz	2019	119	Biography,Drama	8.1	395
Chasing the Dragon II: Wild Wild Bunch	2019	101	Action,Biography,Crime	5.9	699
4th Republic	2019	119	Thriller	6.3	53
Hire a Woman	2019	109	Comedy,Romance	7.0	36
French Exit	2020	113	Comedy,Drama	5.9	7985
Coolie No. 1	2020	134	Action,Comedy,Romance	4.2	73837
Sardar Udham	2021	164	Biography,Crime,Drama	8.4	43979
Koytaa Ek Sangharsh	2019	142	Action	7.8	9
Detective vs. Sleuths	2022	101	Action,Crime,Mystery	6.2	1213
